Player,Pos,Tm,G,GS,Holding,False Start,Pen,Decl/Offs
Kenny Wiggins,G,SDG,13,1,1,1,2,0
Eric Winston,T,CIN,16,2,0,2,2,0
Oday Aboushi,RG,HOU,4,3,0,1,1,0
Mike Adams,T,CHI,12,1,1,0,1,0
Caleb Benenoch,LG,TAM,5,1,0,1,1,0
Joe Berger,C,MIN,14,14,1,0,1,0
Duane Brown,LT,HOU,12,12,1,0,1,0
Le'Raven Clark,T,IND,8,3,0,1,1,0
Emmett Cleary,T,DAL,13,1,0,0,1,1
Tom Compton,T,ATL,16,0,0,1,1,0
Jonathan Cooper,RG,CLE,5,3,1,0,1,0
Dakota Dozier,G,NYJ,13,2,1,0,1,0
Nick Easton,C,MIN,11,5,1,0,1,0
Cameron Fleming,TE,NWE,16,5,0,1,1,0
Joey Hunt,C,SEA,9,1,0,0,1,0
Ulrick John,RT,ARI,3,3,1,0,1,0
Wesley Johnson,C,NYJ,16,8,0,1,1,1
Brett Jones,C,NYG,14,1,0,1,1,0
Matt Kalil,LT,MIN,2,2,0,1,1,0
Ted Karras,G,NWE,16,1,1,0,1,0
Zac Kerin,G,MIN,9,0,0,1,1,0
Cyrus Kouandjio,T,BUF,12,5,1,0,1,1
Eric Kush,LG,CHI,8,4,0,1,1,0
Corey Linsley,C,GNB,9,9,1,0,1,1
Jake Long,LT,MIN,4,3,0,0,1,0
Spencer Long,C,WAS,15,12,0,1,1,1
Cornelius Lucas,T,DET,5,0,0,1,1,0
Marcus Martin,C,SFO,4,2,1,0,1,0
Matt McCants,T,OAK,2,0,0,1,1,0
Derek Newton,RT,HOU,6,6,0,1,1,0
Michael Oher,LT,CAR,3,3,1,0,1,0
Mike Pouncey,C,MIA,5,5,1,0,1,0
Chris Reed,G,JAX,10,4,0,1,1,0
Jah Reid,T,KAN,12,1,1,0,1,0
Corey Robinson,T,DET,14,3,0,1,1,0
Chris Scott,T,CAR,12,4,1,0,1,0
Tyler Shatley,G,JAX,16,4,0,1,1,0
Brandon Shell,T,NYJ,8,3,0,0,1,0
Matt Slauson,C,SDG,16,16,0,0,1,0
Matt Tobin,G,PHI,12,1,0,1,1,1
Billy Turner,G,DEN,3,0,1,0,1,0
Max Unger,C,NOR,15,15,0,0,1,0
John Urschel,C,BAL,13,3,0,1,1,0
Halapoulivaati Vaitai,RT,PHI,7,6,0,1,1,0
J'Marcus Webb,T,SEA,9,3,1,0,1,0
Josh Wells,T,JAX,5,0,1,0,1,0
Stefen Wisniewski,C,PHI,16,6,0,1,1,0
